movieCd,movieNm,audiAcc
20197803,겨울왕국 2,4437901
20198942,아이리시맨,15127
20184341,얼굴없는 보스,16355
20197721,엔젤 해즈 폴른,126377
20198421,좀비랜드: 더블 탭,104508
20196284,윤희에게,34608
20196760,대통령의 7시간,13548
20181434,신의 한 수: 귀수편,1070972
20197279,아담스 패밀리,209769
20193801,닥터 슬립,46343
20195002,블랙머니,32690
20192083,터미네이터: 다크 페이트,1366824
20190280,날씨의 아이,337150
20192589,빅 위시,28884
20198184,빅 2: 황금열쇠 대소동,11152
20197392,프렌드 존,12184
20191029,82년생 김지영,1119908
20196136,람보 : 라스트 워,72265
20197054,빅트립: 아기팬더 배달 대모험,32728
19910247,터미네이터2 3D,11743
20197394,체크 히어로,11124
20198961,더 킹: 헨리 5세,10727
20191589,말레피센트 2,611440
20185361,두번할까요,136264
20194223,너를 만난 여름,19205
20197402,꼬마 자전거 스피디,7598
20197141,와일드 로즈,10534
20183407,버티고,11161
20191183,제미니 맨,302135
20197691,잃어버린 세계를 찾아서,17510
20184243,판소리 복서,16827
20199950,조커,2199816
20195920,가장 보통의 연애,1064468
20195941,소피와 드래곤: 마법책의 비밀,70420
20196380,몬스터 하우스,37998
20193601,장사리 : 잊혀진 영웅들,689707
20194456,양자물리학,387601
20199446,원스 어폰 어 타임... 인 할리우드,197002
20184483,퍼펙트맨,90087
20195968,더 룸,44682
20195203,레플리카,31206
20192982,애드 아스트라,352932
20194943,발명왕 볼트,7386
20188750,나쁜 녀석들: 더 무비,2680932
20184572,타짜: 원 아이드 잭,1684033
20187322,"힘을 내요, 미스터 리",885846
20194045,극장판 반지의 비밀일기,56299
20193807,예스터데이,15626
20192804,그것: 두 번째 이야기,414878
20193821,극장판 헬로카봇 : 달나라를 구해줘!,319417
20194541,안녕 베일리,39817
20181416,유열의 음악앨범,684517
20193665,47미터 2,311240
20194384,안나,73250
20181103,벌새,20942
20184543,변신,768998
20185985,광대들: 풍문조작단,433419
20171021,커런트 워,131202
20191604,애프터,37839
20196850,분노의 질주: 홉스&쇼,2030128
20182241,"안녕, 티라노: 영원히, 함께",145126
20188404,암전,85378
20187959,원더랜드,73851
20184462,봉오동 전투,2032319
20193275,브링 더 소울 : 더 무비,274064
20191741,앵그리 버드 2: 독수리 왕국의 침공,134529
20190741,김복동,29397
20184621,엑시트,2960179
20180442,사자,1166293
20183844,마이펫의 이중생활 2,637941
20182490,나랏말싸미,755446
20198323,레드슈즈,209750
20192725,명탐정 코난: 감청의 권,167765
20175771,라이온 킹,2275556
20192222,사일런스,43202
20190002,롱 샷,38403
20185353,기방도령,220182
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,101245
20185986,진범,106756
20192151,미드소마,45707
20196309,스파이더맨: 파 프롬 홈,4522056
20192591,BIFAN2019 판타스틱 단편 걸작선 1,25000
20192689,별의 정원,8125
20199951,애나벨 집으로,291328
20182585,비스트,177340
20192022,마담 싸이코,37437
20184047,토이 스토리 4,1115831
20198453,롱 리브 더 킹: 목포 영웅,680862
20196655,존 윅 3: 파라벨룸,73138
20190885,사탄의 인형,46546
20196657,맨 인 블랙: 인터내셔널,637801
20190273,천로역정: 천국을 찾아서,77793
20191401,업사이드,30244
20190466,세상을 바꾼 변호인,17105
20182387,엑스맨: 다크 피닉스,737179
19880001,이웃집 토토로,101213
20198291,로켓맨,72451
20199063,빅샤크2: 해저2만리,44189
20183782,기생충,3367064
20184865,고질라: 킹 오브 몬스터,301152
20188144,0.0MHz,107081
20192001,피터팬: 후크 선장과 결투의 날,9582
20183867,알라딘,874017
20199448,어린 의뢰인,150068
20199822,더 보이,71610
20190261,언더 더 씨2,9869
20188941,악인전,1480292
20198597,교회오빠,21806
20197503,서스페리아,19684
20184082,걸캅스,591968
20185384,호텔 뭄바이,37029
20187981,배심원들,23716
20199923,라플라스의 마녀,7209
20199949,벤 이즈 백,6999
20199623,고양이 여행 리포트,7161
20185784,나의 특별한 형제,660849
20198598,명탐정 피카츄,119716
20197147,어글리 돌,37541
20060347,판의 미로 - 오필리아와 세 개의 열쇠,482408
20199736,프렌즈: 둥지탈출,10180
20199189,미스 스티븐스,8943
20184889,어벤져스: 엔드게임,6308048
20198183,뽀로로 극장판 보물섬 대모험,275016
20169323,안도 타다오,7824
20183454,요로나의 저주,161060
20198982,크게 될 놈,62272
20182501,왓칭,46139
19990220,노팅 힐,31419
20185406,헬보이,220243
20180825,미성년,141588
20198104,바이스,77388
20197423,공포의 묘지,87134
20198844,아이 엠 마더,52093
20198403,파이브 피트,67395
20196244,샤잠!,500650
20183096,생일,375445
20197092,로망,46938
20198023,고릴라와 슈퍼레이스,5158
20185352,어스,936427
20196025,덤보,212836
20166301,썬키스 패밀리,26086
20198146,콜레트,22341
20197987,더 길티,22091
20197846,악질경찰,189602
20175407,우상,137880
20197617,정글북: 마법 원정대,22534
20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,24340
20183773,장난스런 키스,8588
20197283,이스케이프 룸,389570
20176103,돈,75464
20197356,라스트 미션,64302
20196723,숲속왕국의 꿀벌 여왕,18305
20181877,캡틴 마블,3036626
20177282,리노,16489
20196323,더 와이프,26884
20196601,항거:유관순 이야기,791038
20176442,자전차왕 엄복동,154330
20195791,"어쩌다, 결혼",70827
20180937,더 페이버릿: 여왕의 여자,104916
20177539,사바하,1176175
20195743,신데렐라:마법 반지의 비밀,133151
20020222,해리포터와 비밀의 방,79301
20185576,콜드 체이싱,78303
20195915,해피 데스데이 2 유,288142
20174169,기묘한 가족,216254
20184888,메리 포핀스 리턴즈,130491
20162003,명탐정 코난:전율의 악보,83376
20195984,드래곤볼 슈퍼: 브로리,27730
20185444,레고 무비2,71030
20180868,뺑반,963002
20186261,드래곤 길들이기 3,623676
20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,309600
20184896,가버나움,54001
20188282,알리타: 배틀 엔젤,12700
20185881,증인,24443
20182530,극한직업,3139563
20185124,러브 유어셀프 인 서울,182103
20189385,몬스터 파크,30571
20182544,글래스,339707
20186324,언더독,122573
20182588,미래의 미라이,77985
20182044,구스 베이비,60505
20176251,내안의 그놈,765380
20183915,극장판 공룡메카드: 타이니소어의 섬,289878
20184574,그린 북,99569
20187427,명탐정 코난 : 제로의 집행인,414506
20189463,주먹왕 랄프 2: 인터넷 속으로,758353
20184105,말모이,151979
20184187,언니,172338
20170658,PMC: 더 벙커,1013905
20186281,범블비,1056143
20183785,점박이 한반도의 공룡2 : 새로운 낙원,333626
20180290,아쿠아맨,1250060
20168773,마약왕,1210179
20182421,그린치,199381
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,112539
20183375,극장판 포켓몬스터 모두의 이야기,86997
20185485,보헤미안 랩소디,7942499
20177552,국가부도의 날,3535998
20179230,도어락,1427392
20183238,스파이더맨: 뉴 유니버스,390327
20189843,호두까기 인형과 4개의 왕국,408425
20175547,스윙키즈,100989
20182082,부탁 하나만 들어줘,87501
20183745,런닝맨 : 풀룰루의 역습,180709
20183685,엘리엇과 산타 썰매단,43148
20177538,완벽한 타인,5270621
